id,field,description
cab859b90-020a-418b-80fc-b7492378e92,class,class
cab859b90-020a-418b-80fc-b7492378e92,order,order
cab859b90-020a-418b-80fc-b7492378e92,family,family
cab859b90-020a-418b-80fc-b7492378e92,genus,genus
cab859b90-020a-418b-80fc-b7492378e92,species,species
cab859b90-020a-418b-80fc-b7492378e92,subspecies,subspecies
cab859b90-020a-418b-80fc-b7492378e92,common_name,common_name
cab859b90-020a-418b-80fc-b7492378e92,female_maturity_d,female_maturity_d
cab859b90-020a-418b-80fc-b7492378e92,litter_or_clutch_size_n,litter_or_clutch_size_n
cab859b90-020a-418b-80fc-b7492378e92,litters_or_clutches_per_y,litters_or_clutches_per_y
cab859b90-020a-418b-80fc-b7492378e92,adult_body_mass_g,adult_body_mass_g
cab859b90-020a-418b-80fc-b7492378e92,maximum_longevity_y,maximum_longevity_y
cab859b90-020a-418b-80fc-b7492378e92,gestation_d,gestation_d
cab859b90-020a-418b-80fc-b7492378e92,weaning_d,weaning_d
cab859b90-020a-418b-80fc-b7492378e92,birth_or_hatching_weight_g,birth_or_hatching_weight_g
cab859b90-020a-418b-80fc-b7492378e92,weaning_weight_g,weaning_weight_g
cab859b90-020a-418b-80fc-b7492378e92,egg_mass_g,egg_mass_g
cab859b90-020a-418b-80fc-b7492378e92,incubation_d,incubation_d
cab859b90-020a-418b-80fc-b7492378e92,fledging_age_d,fledging_age_d
cab859b90-020a-418b-80fc-b7492378e92,longevity_y,longevity_y
cab859b90-020a-418b-80fc-b7492378e92,male_maturity_d,male_maturity_d
cab859b90-020a-418b-80fc-b7492378e92,inter_litter_or_interbirth_interval_y,inter_litter_or_interbirth_interval_y
cab859b90-020a-418b-80fc-b7492378e92,female_body_mass_g,female_body_mass_g
cab859b90-020a-418b-80fc-b7492378e92,male_body_mass_g,male_body_mass_g
cab859b90-020a-418b-80fc-b7492378e92,no_sex_body_mass_g,no_sex_body_mass_g
cab859b90-020a-418b-80fc-b7492378e92,egg_width_mm,egg_width_mm
cab859b90-020a-418b-80fc-b7492378e92,egg_length_mm,egg_length_mm
cab859b90-020a-418b-80fc-b7492378e92,fledging_mass_g,fledging_mass_g
cab859b90-020a-418b-80fc-b7492378e92,adult_svl_cm,adult_svl_cm
cab859b90-020a-418b-80fc-b7492378e92,male_svl_cm,male_svl_cm
cab859b90-020a-418b-80fc-b7492378e92,female_svl_cm,female_svl_cm
cab859b90-020a-418b-80fc-b7492378e92,birth_or_hatching_svl_cm,birth_or_hatching_svl_cm
cab859b90-020a-418b-80fc-b7492378e92,female_svl_at_maturity_cm,female_svl_at_maturity_cm
cab859b90-020a-418b-80fc-b7492378e92,female_body_mass_at_maturity_g,female_body_mass_at_maturity_g
cab859b90-020a-418b-80fc-b7492378e92,no_sex_svl_cm,no_sex_svl_cm
cab859b90-020a-418b-80fc-b7492378e92,no_sex_maturity_d,no_sex_maturity_d
z85a07642-9f49-408c-a16f-f71135d9450f,paper_code,paper code
z85a07642-9f49-408c-a16f-f71135d9450f,mite_superfamily,mite superfamily
z85a07642-9f49-408c-a16f-f71135d9450f,mite_family,mite family
z85a07642-9f49-408c-a16f-f71135d9450f,mite_genus,mite genus
z85a07642-9f49-408c-a16f-f71135d9450f,mite_species,mite species
z85a07642-9f49-408c-a16f-f71135d9450f,author_&_date,author and date
z85a07642-9f49-408c-a16f-f71135d9450f,host_order,host order
z85a07642-9f49-408c-a16f-f71135d9450f,host_family,host family
z85a07642-9f49-408c-a16f-f71135d9450f,host_species,host species
z85a07642-9f49-408c-a16f-f71135d9450f,host_ssp,host subspecies
z85a07642-9f49-408c-a16f-f71135d9450f,continent,continent
z85a07642-9f49-408c-a16f-f71135d9450f,country_collected,country specimen collected
z85a07642-9f49-408c-a16f-f71135d9450f,locality,locality notes
z85a07642-9f49-408c-a16f-f71135d9450f,data_quality,data quality code
z85a07642-9f49-408c-a16f-f71135d9450f,quality_note,data quality note
a7b74844-cabf-4176-9233-adf3b21f974b,number,species code
a7b74844-cabf-4176-9233-adf3b21f974b,family,plant family name
a7b74844-cabf-4176-9233-adf3b21f974b,binomial,species taxonomic binomial name
a7b74844-cabf-4176-9233-adf3b21f974b,wood_density,wood density (g/cm^3, oven dry mass/fresh volume)
a7b74844-cabf-4176-9233-adf3b21f974b,region,geospatial region
a7b74844-cabf-4176-9233-adf3b21f974b,reference_number,reference number (see References table in original file GlobalWoodDensityDatabase.xls)
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,species,species name
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,average,mean value
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,max,maximum value
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,source,data source
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,notes,notes
a6fff969-de4b-4e99-8e2e-1b3864b8fe7e,inferred,inferred average lengths based on the relationship in Fig S3 between ave and max lengths (see main text for details)
